Subsector,Appalachia,Plastics and Rubber Products Manufacturing,Primary Metal Manufacturing,Fabricated Metal Product Manufacturing,Machinery Manufacturing,"Electrical Equipment, Appliance and Component Manufacturing",,,,State
NAICS Code,NAICS,326,331,332,333,335,,,,
Adair,Yes,0,0,2,0,0,,2,1.652045506,KY
Bath,Yes,0,0,0,0,0,,0,0,KY
Bell,Yes,0,0,0,0,0,,0,0.035319884,KY
Boyd,Yes,14,0,9,0,1,,23,23.16271945,KY
Breathitt,Yes,3,0,0,0,0,,3,2.620735949,KY
Carter,Yes,64,0,5,0,2,,71,70.57876065,KY
Casey,Yes,0,0,18,0,0,,18,17.79152463,KY
Clark,Yes,104,0,28,0,8,,139,139.4006602,KY
Clay,Yes,0,0,0,0,0,,0,0.19341841,KY
Clinton,Yes,0,0,3,0,0,,3,2.501825085,KY
Cumberland,Yes,0,0,2,0,0,,2,1.558279624,KY
Edmonson,Yes,0,0,1,0,0,,1,1.206762688,KY
Elliott,Yes,0,0,0,0,0,,0,0,KY
Estill,Yes,0,0,0,0,0,,0,0.020984454,KY
Fleming,Yes,18,0,5,0,0,,23,22.55020029,KY
Floyd,Yes,0,0,4,0,0,,4,4.181621927,KY
Garrard,Yes,0,0,1,0,0,,1,1.157146661,KY
Green,Yes,0,0,0,0,0,,0,0.343527915,KY
Greenup,Yes,25,0,6,0,2,,33,32.72918606,KY
Harlan,Yes,0,0,1,0,0,,1,0.756854647,KY
Hart,Yes,137,0,5,0,0,,142,141.9237639,KY
Jackson,Yes,0,0,3,0,0,,3,2.501825085,KY
Johnson,Yes,1,0,0,0,0,,1,0.922158338,KY
Knott,Yes,0,0,0,0,0,,0,0,KY
Knox,Yes,0,0,7,0,0,,8,7.693212294,KY
Laurel,Yes,3,0,14,0,0,,17,17.04062075,KY
Lawrence,Yes,0,0,0,0,0,,0,0.36413118,KY
Lee,Yes,0,0,1,0,0,,1,0.575209532,KY
Leslie,Yes,0,0,0,0,0,,0,0,KY
Letcher,Yes,0,0,1,0,0,,1,1.302630943,KY
Lewis,Yes,8,0,0,0,0,,8,7.788593089,KY
Lincoln,Yes,0,0,1,0,0,,1,1.210546961,KY
Madison,Yes,77,0,14,0,0,,91,91.05047578,KY
Magoffin,Yes,0,0,0,0,0,,0,0,KY
Martin,Yes,0,0,0,0,0,,0,0,KY
McCreary,Yes,0,0,3,0,0,,3,3.077875566,KY
Menifee,Yes,0,0,2,0,0,,2,1.555336301,KY
Metcalfe,Yes,0,0,1,0,0,,1,0.971717272,KY
Monroe,Yes,0,0,0,0,0,,0,0.413747207,KY
Montgomery,Yes,125,0,7,0,7,,139,139.3179086,KY
Morgan,Yes,0,0,2,0,0,,2,1.540199208,KY
Nicholas,Yes,0,0,1,0,0,,1,0.750547525,KY
Owsley,Yes,0,0,0,0,0,,0,0,KY
Perry,Yes,0,0,0,0,0,,0,0.317460702,KY
Pike,Yes,0,0,3,0,0,,3,2.552731816,KY
Powell,Yes,0,0,2,0,0,,2,2.004823866,KY
Pulaski,Yes,0,0,7,0,0,,7,6.937834268,KY
Robertson,Yes,0,0,0,0,0,,0,0,KY
Rockcastle,Yes,2,0,0,0,0,,2,1.640445492,KY
Rowan,Yes,32,0,8,0,0,,40,39.90968929,KY
Russell,Yes,0,0,4,0,0,,4,4.459897676,KY
Wayne,Yes,0,0,2,0,0,,2,1.667531913,KY
Whitley,Yes,76,0,3,0,0,,79,78.58576475,KY
Wolfe,Yes,0,0,0,0,0,,0,0.426361451,KY
Allen,No,0,0,1,0,0,,1,0.640383127,KY
Anderson,No,47,0,3,0,0,,50,49.8336661,KY
Ballard,No,0,0,9,0,0,,9,8.999422233,KY
Barren,No,9,0,7,0,0,,16,16.31087325,KY
Boone,No,256,0,69,0,3,,328,328.3560651,KY
Bourbon,No,0,0,5,0,0,,6,5.755028165,KY
Boyle,No,68,0,7,0,0,,76,75.66327732,KY
Bracken,No,5,0,0,0,0,,5,4.827880792,KY
Breckinridge,No,0,0,9,0,0,,9,8.829970887,KY
Bullitt,No,53,0,7,0,3,,62,62.25718453,KY
Butler,No,65,0,1,0,0,,65,65.48055432,KY
Caldwell,No,0,0,0,0,0,,0,0.087879234,KY
Calloway,No,63,0,1,0,0,,64,64.47207878,KY
Campbell,No,4,0,10,0,2,,16,15.87661697,KY
Carlisle,No,0,0,0,0,0,,0,0,KY
Carroll,No,26,0,73,0,2,,101,101.0008448,KY
Christian,No,29,0,19,0,16,,64,63.81824774,KY
Crittenden,No,33,0,0,0,0,,34,33.54574738,KY
Daviess,No,74,0,32,0,9,,115,114.5646774,KY
Fayette,No,93,0,32,0,29,,154,154.254476,KY
Franklin,No,0,0,21,0,0,,22,21.746003,KY
Fulton,No,0,0,0,0,1,,1,0.867696189,KY
Gallatin,No,25,0,6,0,0,,30,30.48376531,KY
Grant,No,1,0,6,0,4,,10,10.34543496,KY
Graves,No,0,0,10,0,1,,11,11.41909204,KY
Grayson,No,149,0,11,0,0,,160,160.1325222,KY
Hancock,No,0,0,4,0,0,,4,4.410780696,KY
Hardin,No,207,0,12,0,6,,225,225.0491577,KY
Harrison,No,0,0,5,0,0,,5,4.793412767,KY
Henderson,No,53,0,23,0,0,,76,75.67881339,KY
Henry,No,0,0,0,0,0,,0,0.344368865,KY
Hickman,No,0,0,0,0,1,,1,0.840932571,KY
Hopkins,No,50,0,11,0,0,,62,61.6521518,KY
Jefferson,No,455,0,234,0,368,,"1,057",1056.789319,KY
Jessamine,No,85,0,9,0,0,,94,93.66926573,KY
Kenton,No,44,0,22,0,18,,84,83.9349125,KY
Larue,No,0,0,4,0,0,,4,3.697024067,KY
Livingston,No,0,0,0,0,0,,0,0.123199118,KY
Logan,No,149,0,12,0,0,,161,160.92248,KY
Lyon,No,0,0,0,0,0,,0,0.026489913,KY
Marion,No,105,0,8,0,0,,113,112.8350772,KY
Marshall,No,36,0,16,0,0,,52,51.72125394,KY
Mason,No,12,0,0,0,0,,12,12.39552611,KY
McCracken,No,51,0,36,0,1,,89,88.70224609,KY
McLean,No,1,0,2,0,0,,3,3.281750658,KY
Meade,No,0,0,1,0,0,,1,1.494787929,KY
Mercer,No,0,0,1,0,0,,2,1.611597462,KY
Muhlenberg,No,43,0,1,0,0,,44,43.6308686,KY
Nelson,No,291,0,12,0,0,,303,303.2343933,KY
Ohio,No,0,0,17,0,0,,17,16.9415464,KY
Oldham,No,8,0,5,0,0,,13,13.38502649,KY
Owen,No,0,0,0,0,0,,0,0,KY
Pendleton,No,11,0,1,0,0,,12,12.0118863,KY
Scott,No,349,0,48,0,0,,396,396.4689117,KY
Shelby,No,156,0,23,0,0,,179,178.7318486,KY
Simpson,No,75,0,19,0,0,,93,93.29382499,KY
Spencer,No,0,0,0,0,0,,0,0.384708067,KY
Taylor,No,35,0,16,0,0,,50,50.34739797,KY
Todd,No,0,0,1,0,0,,1,1.24493569,KY
Trigg,No,13,0,3,0,0,,16,15.66383523,KY
Trimble,No,0,0,0,0,0,,0,0.068537393,KY
Union,No,32,0,2,0,0,,33,33.46852965,KY
Warren,No,189,0,70,0,1,,260,260.0552038,KY
Washington,No,7,0,0,0,0,,7,6.518036753,KY
Webster,No,30,0,2,0,0,,32,31.54571654,KY
Woodford,No,45,0,1,0,0,,46,46.15038451,KY
Adams,Yes,1,0,3,2,0,5,,5.364542227,OH
Ashtabula,Yes,358,68,52,64,46,587,,587.0337071,OH
Athens,Yes,14,0,2,16,0,32,,31.75093015,OH
Belmont,Yes,0,0,7,0,0,7,,7.076076738,OH
Brown,Yes,0,0,7,1,0,7,,7.333855199,OH
Carroll,Yes,0,0,18,1,0,19,,19.32000327,OH
Clermont,Yes,55,17,77,103,11,263,,262.5414139,OH
Columbiana,Yes,122,102,68,91,0,382,,382.3763213,OH
Coshocton,Yes,0,179,8,16,93,297,,297.1427703,OH
Gallia,Yes,0,0,0,18,0,18,,18.43304829,OH
Guernsey,Yes,111,18,21,64,0,213,,213.3613867,OH
Harrison,Yes,0,0,3,3,0,7,,6.736393254,OH
Highland,Yes,99,0,18,34,0,152,,152.0490142,OH
Hocking,Yes,0,0,11,0,0,11,,11.17885423,OH
Holmes,Yes,160,6,66,10,0,243,,242.7646825,OH
Jackson,Yes,29,25,2,0,0,56,,55.91753623,OH
Jefferson,Yes,0,58,8,51,0,117,,116.6589806,OH
Lawrence,Yes,1,0,8,78,0,87,,86.66559099,OH
Mahoning,Yes,149,436,78,112,29,804,,804.3549242,OH
Meigs,Yes,0,0,0,0,0,0,,0.450274214,OH
Monroe,Yes,0,6,0,11,0,17,,16.68144069,OH
Morgan,Yes,0,0,17,26,0,43,,42.98701663,OH
Muskingum,Yes,41,37,12,18,0,108,,108.3544637,OH
Noble,Yes,0,0,2,0,0,2,,2.254476498,OH
Perry,Yes,0,30,4,26,0,60,,59.90425256,OH
Pike,Yes,0,0,4,0,0,4,,3.679223696,OH
Ross,Yes,0,0,7,33,0,40,,39.75772998,OH
Scioto,Yes,3,39,4,0,37,83,,82.59161862,OH
Trumbull,Yes,62,540,77,91,84,855,,855.2620703,OH
Tuscarawas,Yes,424,94,67,141,0,725,,724.7606498,OH
Vinton,Yes,0,0,0,1,0,1,,0.723018534,OH
Washington,Yes,108,81,8,81,21,298,,298.1341049,OH
Allen,No,211,0,38,22,0,271,,270.9757451,OH
Ashland,No,115,1,21,118,15,270,,269.9310042,OH
Auglaize,No,99,65,35,785,0,985,,984.5058725,OH
Butler,No,465,564,102,229,54,"1,415",,1414.647374,OH
